,0
"('8', '7')",0.3341049354807299
"('8', '103')",0.4257457104822495
"('8', '51')",0.451367935977175
"('174', '1625')",0.1757883518850464
"('174', '1627')",0.2627943411592335
"('174', '1623')",0.3248350277600266
"('227', '2094')",0.2006958978934888
"('227', '2091')",0.3155572984044997
"('227', '2087')",0.36743283733846965
"('1974', '17562')",0.5011561541748609
"('1974', '1627')",0.6124602726206605
"('1974', '1626')",0.75
"('9', '13')",0.3341049354807299
"('9', '70')",0.4257457104822495
"('9', '66')",0.451367935977175
"('1324', '11807')",0.3341049354807299
"('1324', '11805')",0.4257457104822495
"('1324', '11812')",0.451367935977175
"('7', '77')",0.11156252367256145
"('7', '93')",0.4532847763694897
"('7', '55')",0.451367935977175
"('4088', '35554')",0.3341049354807299
"('4088', '35561')",0.6666666666666666
"('4088', '35562')",0.451367935977175
"('5863', '36505')",0.6666666666666666
"('5863', '36514')",0.4257457104822495
"('5863', '36508')",0.451367935977175
"('1', '15')",0.3341049354807299
"('1', '32')",0.4257457104822495
"('1', '0')",0.451367935977175
"('32', '314')",0.9115328407673542
"('32', '230')",0.07570460192503001
"('32', '338')",0.08189887354868258
"('431', '3884')",0.6666666666666666
"('431', '0')",0.4257457104822495
"('431', '3887')",0.451367935977175
"('23323', '191148')",0.6666666666666666
"('23323', '191149')",0.4257457104822495
"('23323', '191144')",0.451367935977175
"('5', '99')",0.5020893935399049
"('5', '16')",0.5772882743589678
"('5', '87')",0.4375341463654286
"('558', '84')",0.2507727333261984
"('558', '5043')",0.75
"('558', '5041')",0.6339374156775051
"('8768', '74672')",0.6666666666666666
"('8768', '74661')",0.4257457104822495
"('8768', '74674')",0.451367935977175
"('8893', '75682')",0.3341049354807299
"('8893', '75685')",0.4257457104822495
"('8893', '75684')",0.451367935977175
"('8907', '74672')",0.6666666666666666
"('8907', '74671')",0.6666666666666666
"('8907', '74661')",0.6666666666666666
"('47', '482')",0.7340441171991888
"('47', '425')",0.019716360832962528
"('47', '456')",0.02826134041139777
"('2', '72')",0.3341049354807299
"('2', '11')",0.4257457104822495
"('2', '102')",0.451367935977175
"('281', '2561')",0.3341049354807299
"('281', '2566')",0.4257457104822495
"('281', '102')",0.451367935977175
"('22801', '186951')",0.3341049354807299
"('22801', '186956')",0.6666666666666666
"('22801', '186959')",0.451367935977175
"('28300', '230571')",0.3341049354807299
"('28300', '230577')",0.4257457104822495
"('28300', '230568')",0.451367935977175
"('451', '4066')",0.2006958978934888
"('451', '4047')",0.3155572984044997
"('451', '3991')",0.36743283733846965
"('71', '691')",0.5828638628265803
"('71', '741')",0.02663666355661035
"('71', '689')",0.4653012336049575
"('4', '45')",0.8591033686072713
"('4', '20')",0.13595536518644197
"('4', '24')",0.20646790120731506
"('0', '59')",0.4467017515705888
"('0', '89')",0.5484467909835368
"('0', '29')",0.6994070600954034
"('11643', '10959')",0.6666666666666666
"('11643', '10963')",0.6666666666666666
"('11643', '17333')",0.6666666666666666
"('3', '19')",0.3341049354807299
"('3', '44')",0.4257457104822495
"('3', '5')",0.451367935977175
"('126', '1199')",0.3341049354807299
"('126', '1195')",0.4257457104822495
"('126', '1194')",0.451367935977175
"('747', '6749')",0.6666666666666666
"('747', '6747')",0.4257457104822495
"('747', '6742')",0.451367935977175
"('1511', '13411')",0.3341049354807299
"('1511', '13409')",0.4257457104822495
"('1511', '1199')",0.451367935977175
"('4350', '37768')",0.3341049354807299
"('4350', '37765')",0.4257457104822495
"('4350', '37772')",0.451367935977175
"('4393', '38123')",0.3341049354807299
"('4393', '38129')",0.4257457104822495
"('4393', '38127')",0.451367935977175
"('104', '649')",0.6211127882041692
"('104', '505')",0.24525793734375026
"('104', '638')",0.19366075491620782
"('33831', '274116')",0.3341049354807299
"('33831', '274115')",0.6666666666666666
"('33831', '274121')",0.6666666666666666
"('35251', '285310')",0.3341049354807299
"('35251', '285311')",0.6666666666666666
"('35251', '285313')",0.451367935977175
"('35993', '291150')",0.6666666666666666
"('35993', '291155')",0.4257457104822495
"('35993', '291157')",0.451367935977175
"('37092', '299813')",0.3341049354807299
"('37092', '299819')",0.6666666666666666
"('37092', '299814')",0.451367935977175
"('38405', '309947')",0.6666666666666666
"('38405', '309955')",0.4257457104822495
"('38405', '309954')",0.451367935977175
"('10', '57')",0.40123582553288495
"('10', '47')",0.3643729819196413
"('10', '101')",0.34843572431905184
"('1260', '57')",0.3341049354807299
"('1260', '101')",0.4257457104822495
"('1260', '11246')",0.451367935977175
"('2389', '21186')",0.3341049354807299
"('2389', '21184')",0.4257457104822495
"('2389', '21182')",0.451367935977175
"('253', '2356')",0.22910569531324282
"('253', '2275')",0.2525419903290112
"('253', '2372')",0.48739266201415155
"('3347', '29323')",0.3341049354807299
"('3347', '29318')",0.4257457104822495
"('3347', '29322')",0.451367935977175
"('4113', '35781')",0.6666666666666666
"('4113', '35780')",0.6666666666666666
"('4113', '35779')",0.6666666666666666
"('10405', '87958')",0.6666666666666666
"('10405', '87959')",0.6666666666666666
"('10405', '87957')",0.6666666666666666
"('14872', '123982')",0.3341049354807299
"('14872', '123980')",0.4257457104822495
"('14872', '123977')",0.451367935977175
"('15092', '125736')",0.3341049354807299
"('15092', '125733')",0.4257457104822495
"('15092', '76800')",0.451367935977175
"('15114', '125912')",0.3341049354807299
"('15114', '125913')",0.4257457104822495
"('15114', '8739')",0.451367935977175
"('19156', '63107')",0.3341049354807299
"('19156', '1590')",0.4257457104822495
"('19156', '95970')",0.451367935977175
"('21917', '63107')",0.3341049354807299
"('21917', '1590')",0.4257457104822495
"('21917', '85869')",0.451367935977175
"('6', '46')",0.668204872337992
"('6', '49')",0.3312141693148448
"('6', '28')",0.4068438378987622
"('14580', '1874')",0.3341049354807299
"('14580', '1110')",0.4257457104822495
"('14580', '354')",0.451367935977175
"('4218', '505')",0.2509669869207529
"('4218', '649')",0.4610184044782348
"('4218', '1848')",0.451367935977175
"('4218', '13464')",0.6666666666666666
"('4218', '233072')",0.6666666666666666
"('14', '131')",0.9533304527625105
"('14', '136')",0.10309996103149828
"('14', '202')",0.072830264881154
"('307', '2774')",0.3341049354807299
"('307', '2769')",0.4257457104822495
"('307', '2773')",0.451367935977175
"('1302', '11627')",0.6666666666666666
"('1302', '11623')",0.4257457104822495
"('1302', '11625')",0.451367935977175
"('18', '166')",0.7527793404484712
